topic,side,content
Should Turkey acknowledge the Armenian genocide?,unknown,Turkey should acknowledge the Armenian genocide.
Should Turkey acknowledge the Armenian genocide?,con,Acknowledging the Armenian genocide would have numerous economic benefits for Turkey and the surrounding region.
Should Turkey acknowledge the Armenian genocide?,unknown,Acknowledging the genocide is the first step towards alleviating the damage done to the Armenian community.
Should Turkey acknowledge the Armenian genocide?,pro,Acknowledging the genocide would improve Turkey's international standing.
Should Turkey acknowledge the Armenian genocide?,unknown,"3
It does not fulfil the globally accepted legal criteria for a genocide."
Should Turkey acknowledge the Armenian genocide?,unknown,"2
Acknowledging the genocide would disrupt the stability of Turkey's domestic politics."
Should men be allowed to vote on abortion legislation?,unknown,"12
Men should be allowed to vote on abortion legislation."
Should men be allowed to vote on abortion legislation?,pro,"15
Excluding anyone from the voting process undermines the principle of democratic equality."
Should men be allowed to vote on abortion legislation?,unknown,"18
Abortion impacts society at large, including men; therefore, they should have a voice in shaping abortion policies."
Should men be allowed to vote on abortion legislation?,unknown,"14
Only those with the capacity to have children should be able to cast votes about their own bodies, as they have to live with the outcome."
Should men be allowed to vote on abortion legislation?,unknown,"14
Men can express their opinions by means other than voting."
Should men be allowed to vote on abortion legislation?,pro,"1
In most countries, people can't or usually can't vote on any specific legislation and instead can only participate in electoral processes. The question whether men should be allowed to vote on abortion legislation therefore is essentially mute."
Is Jesus the Messiah?,pro,"7
Jesus is the promised Messiah of the ancient Hebrew religion."
Is Jesus the Messiah?,pro,"13
Jesus fulfilled all prophecies concerning the Jewish Messiah."
Is Jesus the Messiah?,unknown,"1
Christianity claims Jesus was the Israelite Messiah according to the New Testament. Information about Jesus, his life, claims and mission are found therein."
Is Jesus the Messiah?,unknown,"1
Islam claims Jesus was the Israelite Messiah. Information about Jesus' life, claims and mission are found in the Holy Qur'an."
Is Jesus the Messiah?,pro,"2
Jesus' impact on the world demonstrates that he is the promised Messiah of the ancient Hebrew religion."
Is Jesus the Messiah?,pro,"5
The Book of Mormon also claims that Jesus is the Promised Messiah."
Is Jesus the Messiah?,unknown,The disciples of Jesus testify to his Messianic claim.
Is Jesus the Messiah?,unknown,"4
See https://what-it-s-all-about.life/1868-2/
 Not a claim
Revert to lukanakai's marking."
Is Jesus the Messiah?,pro,"11
Credible modern eyewitnesses have claimed visitations from Jesus, the son of Mary, in a modern era that if true, proves that Jesus is the promised Messiah spoken of in the Old Testament."
Is Jesus the Messiah?,unknown,"20
Whether or not Jesus is the Messiah varies depending on religious and spiritual beliefs. Therefore, there is more than one right answer to it."
Is Jesus the Messiah?,unknown,"8
There is no mention of Jesus outside of religious texts."
Is Jesus the Messiah?,pro,"6
Jesus is proposed to be a demigod and therefore not the messiah of the ancient Hebrew religion."
Is Jesus the Messiah?,unknown,"2
Subscribers to Hebrew religion don't believe that Jesus was their Messiah for many reasons."
Is Jesus the Messiah?,unknown,Some understandings of Jesus as Messiah are illogical.
Is Jesus the Messiah?,unknown,"6
Jesus was a Buddhist monk making it unlikely he was a Messiah for another religion."
Is Jesus the Messiah?,unknown,"9
The name 'Christ' is not synonymous with a singular messiah."
Should Laptops be Allowed in University Classrooms?,unknown,"8
Laptops should be allowed in the classroom."
Should Laptops be Allowed in University Classrooms?,pro,Laptops improve the learning process.
Should Laptops be Allowed in University Classrooms?,unknown,Laptops in the classroom can make education more accessible.
Should Laptops be Allowed in University Classrooms?,unknown,"1
Laptops can be a distraction."
Should Laptops be Allowed in University Classrooms?,unknown,Laptops are expensive.
Should We Increase the Number of Votes For People Who Pay More Taxes?,unknown,"1
Citizens who pay higher taxes should have more votes in elections."
Should We Increase the Number of Votes For People Who Pay More Taxes?,pro,Wealthy people are less likely to evade and avoid taxes if they have more votes in proportion to their taxed income or wealth.
Should We Increase the Number of Votes For People Who Pay More Taxes?,unknown,"1
Wealthy people deserve greater decision-making power over who runs the government."
Should We Increase the Number of Votes For People Who Pay More Taxes?,unknown,"1
Distributing votes on the basis of income would be undemocratic."
Should We Increase the Number of Votes For People Who Pay More Taxes?,con,Giving more political power to those who pay higher taxes would entrench the socioeconomic class divide in society.
Should failing banks receive bailouts from the government?,unknown,"2
Failing banks should receive bailouts from the government."
Should failing banks receive bailouts from the government?,unknown,Failing banks have the potential to negatively affect the stability of financial markets worldwide.
Should failing banks receive bailouts from the government?,con,Failing banks represent a large threat to the security of the economy and must be rescued for everyone's benefit.
Should failing banks receive bailouts from the government?,unknown,"Bailing out banks establishes a bad precedent, which is likely to lead to riskier investments by banks in the future."
Should failing banks receive bailouts from the government?,unknown,It is not the responsibility of the state to bail out private companies.
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,"3
Teachers should not be allowed to wear religious symbols at school."
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,"10
Public school classrooms are mandated, sanctioned, and funded by the state. Teachers do not have the right to violate this sanctity with their religious symbols."
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,"4
Children need to have a neutral safe space to learn without the religious symbols worn by their teacher influencing their impressionable minds."
Should Teachers Be Allowed To Wear Religious Symbols At School?,con,"Since all states are secular, even in countries where the majority of the population is Christian, like in my country where schools were forced to remove Christian symbols, so all symbols should not be tolerated either. But this concern seems to only exist in the EU, because in non-Christian countries this issue does not even arise, it is their culture and it should be respected as it should be in the EU. But"
Should Teachers Be Allowed To Wear Religious Symbols At School?,con,"8
Banning religious symbols in the classroom discriminates against religions whose symbols are not simply adornments but constitute religious practice."
Should Teachers Be Allowed To Wear Religious Symbols At School?,pro,"10
Teachers wearing religious symbols in the classroom is protected under freedom of expression."
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,It is insulting to both the children's intelligence and other religions to believe we should hide the fact religion exists in case children like the ideas too much
Should Teachers Be Allowed To Wear Religious Symbols At School?,pro,A child who is embarrassed or scared to ask about religious symbols which may be the result of such a ban would simply avert their attention to secret online googles which doesn't protect the child's thinking like the ban claims to.
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,Banning religious expression and trying to hide the existence of minority beliefs would be the same thing extremist religious types did to suppress the life-saving discoveries made by science and so would go against the point of secularisation.
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,Banning religious symbols will give the impression that religion is inherently evil or should be kept hidden which isn't the full picture and therefore not a fair education.
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,An impressionable child would tend to learn to treat others the same way you treat them and the encouragement to hide your beliefs is not a good role model for themselves or others
Should Teachers Be Allowed To Wear Religious Symbols At School?,unknown,the premise of religious freedom in the United States pertains to the allowance of individual expression of one's religion. banning religious symbols in schools violates teachers first amendment right
Should Private Cars Be Forbidden In Large Cities?,unknown,"2
Private cars should be forbidden in large cities."
Should Private Cars Be Forbidden In Large Cities?,unknown,"4
Cars make cities less habitable."
Should Private Cars Be Forbidden In Large Cities?,con,"11
Cars contribute to degradation of the natural environment."
Should Private Cars Be Forbidden In Large Cities?,unknown,"5
Cities without private cars would be safer, as cars injure, disable, and kill an inordinate number of people each year."
Should Private Cars Be Forbidden In Large Cities?,unknown,Many public transportation systems are currently inadequate.
Should Private Cars Be Forbidden In Large Cities?,con,"4
Banning private cars will have negative economic effects."
Should Private Cars Be Forbidden In Large Cities?,unknown,Banning cars in cities is unpopular.
Should the US adopt stricter gun control legislation?,con,"76
The US should adopt stricter gun control legislation."
Should the US adopt stricter gun control legislation?,con,"44
Stricter gun control legislation may reduce instances of gun-related injury, accidental death, murder, and suicide."
Should the US adopt stricter gun control legislation?,con,"20
Gun control measures are an effective way to limit the incidence and impact of mass shootings."
Should the US adopt stricter gun control legislation?,con,"21
Before enacting new, more effective gun control laws, the failures of current laws and regulations regarding firearms must be addressed."
Should the US adopt stricter gun control legislation?,con,"10
Gun control policies infringe on a number of rights that the US government was explicitly founded upon and has an obligation to uphold."
Should the US adopt stricter gun control legislation?,unknown,"14
Open access to guns is a cultural characteristic of the US and thus should be preserved."
Is Esports a sport?,unknown,"6
Esports is a sport."
Is Esports a sport?,unknown,Esports players and traditional atheletes share key characteristics and traits.
Is Esports a sport?,unknown,"Esports have developed legitimate funding and organizational structures, much like traditional sports."
Is Esports a sport?,pro,"7
Esports are solely products of corporations, whereas activities qualifying as sports exist outside corporate production."
Is Esports a sport?,unknown,"1
Officially classifying esports alongside regular sports would encourage unhealthy habits."
Is Esports a sport?,unknown,"3
Esports require no physical effort."
Is chivalry sexist?,unknown,"37
Chivalry is sexist."
Is chivalry sexist?,unknown,"4
Chivalrous behavior is predicated on the notion of women being incapable of thriving without the help of men."
Is chivalry sexist?,unknown,"Chivalry places men in a position of power and advantage, real or perceived, over women."
Is chivalry sexist?,unknown,"Chivalry is rooted in traditions and social norms, which are not inherently sexist."
Is chivalry sexist?,pro,"8
The fact that many women appreciate chivalry proves it is not sexist."
Is there an afterlife?,unknown,"11
There is an afterlife."
Is there an afterlife?,con,"If [in the future] humans or [in the past or present] extraterrestrials, can digitize minds (or ""mind cloning""), it is feasible their minds continue in some form after conventional death, albeit death of the person arguably would still occur if the transition is not of a gradual form."
Is there an afterlife?,unknown,"6
You will only truly die if you are forgotten. Being remembered after one's death can be seen as an afterlife."
Is there an afterlife?,con,"1
If our world is a simulation, it is feasible that a form of life continues after life in this simulation – such as porting a person's state of mind into a new world or a reenactment of one's life in another world and so on."
Is there an afterlife?,unknown,"26
Almost all major faiths offer complex and sophisticated arguments about why life exists after death."
Is there an afterlife?,con,"9
Partial destruction of the brain results in memory loss, cognitive impairment, loss of intelligence, loss of sense of self, or even vegetative states. Thus it is reasonable to infer that complete destruction of the brain would result in loss of all cognitive functions, capacities, faculties and abilities. This would preclude any possibility of any conscious life after death."
Is there an afterlife?,unknown,"27
There is no empirical evidence that life exists after death."
Is there an afterlife?,pro,"11
Evolution has been proven beyond doubt, which disproves the possibility of an afterlife. Specifically, humans evolved over time, so it is unclear why they would, at some point, suddenly have souls."
Is there an afterlife?,unknown,"7
Souls are not real, therefore there cannot be an afterlife."
Should women-only spaces be open to anyone identifying as a woman?,unknown,"31
Women-only spaces should be open to anyone identifying as a woman."
Should women-only spaces be open to anyone identifying as a woman?,unknown,"25
Women-only spaces should strive to be as inclusive as possible to ensure that everyone is treated equally."
Should women-only spaces be open to anyone identifying as a woman?,pro,"33
Allowing anyone who identifies as a woman into women-only spaces would benefit both cis and trans women by improving their ability to work towards change in these spaces."
Should women-only spaces be open to anyone identifying as a woman?,unknown,"23
The inclusion of anyone who identifies as a woman into women-only spaces will make them less safe."
Should women-only spaces be open to anyone identifying as a woman?,unknown,"25
Trans women and cis women have more differences than commonalities. Therefore, they should not share the same spaces."
Should fascist and nazi movements be banned?,unknown,Fascist and nazi movements and organizations should be banned
Should fascist and nazi movements be banned?,unknown,"Yes, because the fact that they're anti-democratic and are a threat to democracy outweighs freedom for free speech. We shouldn't allow free speech of trying to get rid of free speech, it bites its own tail."
Should fascist and nazi movements be banned?,unknown,"1
Fascist and Neo-nazi groups are a threat to democracy."
Should fascist and nazi movements be banned?,unknown,"1
Fascism and nazism are inherently violent ideologies"
Should fascist and nazi movements be banned?,unknown,These ideologies seek to abolish a tolerant society
Should fascist and nazi movements be banned?,unknown,"Fascist movements tend to be the result of cultural unrest. The issues should be identified and solved in order to avoid these movements, instead of banning them."
Should fascist and nazi movements be banned?,unknown,"Banning an ideology only forces its adherents underground, making them even more dangerous."
Should fascist and nazi movements be banned?,unknown,Our society values freedom of speech
Should single-sex schools be banned?,unknown,"9
Single-sex schools should be banned."
Should single-sex schools be banned?,unknown,"5
Single-sex schools reaffirm the gender and sex binary."
Should single-sex schools be banned?,unknown,Single-sex schools are unethical.
Should single-sex schools be banned?,unknown,"1
Single-sex schools ruin a persons perspective of the other gender."
Should single-sex schools be banned?,unknown,"11
Single-sex schools have good learning outcomes."
Should single-sex schools be banned?,unknown,"2
Single-sex schools are safer than mixed-sex schools."
Should there be One World State?,unknown,"8
All nations should come together to form one world state."
Should there be One World State?,con,"1
The formation of a one world state would lead to immense economic and material benefits."
Should there be One World State?,con,"3
The formation of a one world state would lead to an immediate reduction of conflict and violence."
Should there be One World State?,pro,"6
The formation of a one world state would solve collective action problems more effectively."
Should there be One World State?,unknown,"15
Given historical and present global inequalities, there is a strong moral imperative to create a one world state."
Should there be One World State?,unknown,"5
Forming a one world state is impractical."
Should there be One World State?,unknown,"8
The possible failure of a one world state would have grave effects on people all over the world."
Should there be One World State?,unknown,"12
A one world state would lead to a world without borders, which would be harmful."
Should a license be required in order to have a child (procreate)?,pro,"2
A license should be required in order to have a child (procreate)."
Should a license be required in order to have a child (procreate)?,unknown,"3
A parenting license system will lead to better childcare and parenting."
Should a license be required in order to have a child (procreate)?,pro,"6
Governments are obligated to improve and maintain citizens' quality of life. Introducing parenting licenses would help facilitate this."
Should a license be required in order to have a child (procreate)?,unknown,"22
The practicalities of implementing such a policy would make it incredibly difficult, if not impossible, to implement in most countries."
Should a license be required in order to have a child (procreate)?,unknown,"18
Parenting licenses violate parents' rights."
Should a license be required in order to have a child (procreate)?,unknown,"14
Parenting licenses will bring undue harm to people."
Should schools require students to learn a second language?,con,"5
Schools should require students to learn a second language."
Should schools require students to learn a second language?,con,"4
Learning a second language helps prepare students to live in a globalized world."
Should schools require students to learn a second language?,con,Learning a second language has long-term benefits for the brain.
Should schools require students to learn a second language?,pro,"Learning a second language at school is ineffective to achieve functional proficiency, let alone fluency."
Should schools require students to learn a second language?,con,Teaching a second language would be an unnecessary drain on school resources.
Should There Be Trigger Warnings in Education?,unknown,"6
Trigger warnings should be required in an educational setting."
Should There Be Trigger Warnings in Education?,pro,The inclusion of trigger warnings promotes the important value of transparency.
Should There Be Trigger Warnings in Education?,pro,The inclusion of trigger warnings protects students from unnecessary harms.
Should There Be Trigger Warnings in Education?,unknown,Most students and educators want and support trigger warnings in their classrooms. This is reason enough to implement them.
Should There Be Trigger Warnings in Education?,pro,Trigger warnings allow people to ignore opinions they don't like.  This is counterproductive to civil discourse.
Should There Be Trigger Warnings in Education?,unknown,Trigger warnings are overly paternalistic.
Should There Be Trigger Warnings in Education?,unknown,"3
Trigger warnings violate norms of academic freedom."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,"1
People should only be allowed to vote if they pass a test."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,"5
This would create a more engaged, politically aware, and cohesive society."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,"1
Enforcing a test to determine who can vote will ensure that the people allowed to vote can be trusted to make informed decisions."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,This would ensure that the best possible leaders are elected.
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,"4
If a test were implemented, any minimum age could be eliminated."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,This policy will disenfranchise voters.
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,"2
The implementation of a neutral test would be logistically difficult."
Should People Only be Allowed to Vote if they Pass a Certain Test?,unknown,This policy threatens the principles and ideals enshrined in democracy.
Should Bullfighting be Banned?,unknown,"15
Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them - should be banned."
Should Bullfighting be Banned?,con,"14
Bullfighting functionally amounts to violence and cruelty for the purposes of entertainment, and is consequently immoral."
Should Bullfighting be Banned?,unknown,"13
Bullfighting is overly dangerous for participants and spectators."
Should Bullfighting be Banned?,unknown,"36
Bullfighting is part of the history, culture, and identity of many countries, and therefore is worth preserving."
Should Bullfighting be Banned?,con,"16
Bullfighting can benefit national economies."
Is killing vampires immoral?,unknown,"1
Killing vampires is immoral."
Is killing vampires immoral?,unknown,"Vampires are sentient and intelligent, which makes harming them immoral."
Is killing vampires immoral?,unknown,"Vampires have human origins and features, which entitles them to human rights."
Is killing vampires immoral?,unknown,"Vampires could be of immense value to humanity, and hence killing them off would be immoral."
Is killing vampires immoral?,unknown,"1
Killing vampires can be moral in that it could prevent more human deaths."
Is killing vampires immoral?,unknown,"Vampires are inherently evil, and therefore killing them is the right thing to do."
Is killing vampires immoral?,con,"As vampires are already dead, 'killing' them makes no consequential, and therefore moral, difference."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,"10
Genealogy databases like AncesteryDNA and 23andMe should be available to law enforcement to solve crimes."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,People voluntarily submit their DNA for genealogy testing thus giving up the rights to how it is used.
Should genealogy databases be available to law enforcement to solve crimes?,unknown,Genealogy databases would help solve crimes.
Should genealogy databases be available to law enforcement to solve crimes?,unknown,"2
If one has done nothing wrong, then there is nothing to worry about."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,"3
Using these databases could prevent the harm of other people."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,"The handling of an individual’s DNA must comply with the purpose of the test, otherwise there will be mistrust in the application (and potentially wider mistrust), and people will refrain from using it."
Should genealogy databases be available to law enforcement to solve crimes?,pro,"3
DNA handling by for-profit genealogy companies is subject to error, tampering and misinterpretation."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,"4
The state could abuse its power if given access to this data."
Should genealogy databases be available to law enforcement to solve crimes?,unknown,Genealogy may still be too immature for such a serious matter. 23andMe and various other companies update their clients with new results as their detection methods reach technological milestones.
Should genealogy databases be available to law enforcement to solve crimes?,pro,"1
The Fourth Amendment protects US citizens from unreasonable search and seizure - using DNA is just this."
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,"2
All transgender athletes should have to compete in men's divisions."
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,Transgender athletes have characteristics that give them advantages over biological women.
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,"2
Having transgender athletes compete against men is the best way to preserve sports for biological women."
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,Transgender athletes should have their own division.
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,"3
Athletics should be separated by weight class or ability, not gender or sex, since this is a greater determining factor when it comes to athletic competitiveness."
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,Transgender individuals should not be discriminated against by being forced to compete with the gender to which they don't identify.
Should All Transgender Athletes Have to Compete in Men's Divisions?,unknown,"2
By the same token, you could say that any athlete should be discriminated based on age or weight if they identify with a different age/weight. This leads to a absurdum. Because, self-identification is an absurd.
 Duplicate claim"
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",unknown,"5
Taylor Swift's depiction of men in the music video 'The Man' is an accurate representation of men in modern societies."
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",pro,The video depicts many forms of problematic male behavior that actually exist.
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",unknown,"3
'The Man' alludes to the double standards between men and women today."
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",unknown,"3
Most men don't behave like the men in the video."
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",pro,"3
The suggested problematic behaviors in the video are not specific to men but are also pertaining to women."
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",unknown,"1
'The Man' is only an accurate representation of toxic masculinity, not the male gender as a whole."
Is Donation Charity or a Moral Obligation?,unknown,People From Affluent Countries Have a Moral Obligation in Helping the Needy.
Is Donation Charity or a Moral Obligation?,pro,The excessive accumulation of wealth in a world with many people in precarious conditions is morally problematic.
Is Donation Charity or a Moral Obligation?,con,Wealthy individuals have a shared responsibility due to the power and influence their wealth confers in society.
Is Donation Charity or a Moral Obligation?,unknown,"1
They have but they also have the permission to not do it. The rich, the real rich have not to do that if they don't want. For religious and universe reason."
Is Donation Charity or a Moral Obligation?,unknown,People from affluent countries have the means to help people in need without sacrificing their means of survival.
Is Donation Charity or a Moral Obligation?,unknown,"Helping the needy often doesn't accomplish much or only short term results that are not durable. It often can also have larger negative impacts such as the needy growing up to be dependent on the help or more violence or environmental destruction than otherwise. So instead of helping the needy, it's often much better to address the causes of them being needy and similar causes."
Is Donation Charity or a Moral Obligation?,pro,"Imprudent tries to help with donations can cause greater problems than they solve. It can be difficult to spend the money for ends or in channels that are indeed efficacious in being a net positive, especially if the selection, judgement, and so on is done by one or few people or based largely on personal opinion. More systematic approaches that also move away from the appeal to morality approach would be better."
Is Donation Charity or a Moral Obligation?,unknown,"Wealthy individuals have the right to use their wealth as they wish, including the freedom to choose whether and how to help the needy."
Is Donation Charity or a Moral Obligation?,con,"Until there is effective population control, relieving famine merely postpones starvation."
Is Donation Charity or a Moral Obligation?,unknown,"1
Wealthy people already pay taxes to the government, fulfilling their moral responsibility, and should not be required to pay more."
Is Donation Charity or a Moral Obligation?,unknown,I'd rather add job opportunity.
Is Donation Charity or a Moral Obligation?,unknown,Why should one be morally obliged to give out… doesn’t that notion simply erase the act of charity?
Is Donation Charity or a Moral Obligation?,unknown,"I prefer moral duty over moral obligation for charity. Obligation implies enforceability, while duty rests on a moral character. Charity should stem from voluntary compassion, not coercion. Due to a shortfall in resources, we must define who is ""in need"" and who is not. As things stand, the state primarily serves its citizens. Not giving isn't inherently immoral if civic duties are fulfilled."
Is Donation Charity or a Moral Obligation?,unknown,"1
wealty people earned the money they should be ablo to do what they wish with it"
Is Donation Charity or a Moral Obligation?,unknown,"Overseas aid should be a government responsibility, and that therefore one ought not to give to privately run charities"
Is Donation Charity or a Moral Obligation?,unknown,It is too drastic a revision of our moral scheme
Should the EU introduce a carbon tax?,unknown,"11
The EU should introduce a carbon tax."
Should the EU introduce a carbon tax?,pro,"1
Carbon emissions are negative externalities. Taxing negative externalities for welfare optimisation provide a welfare gain to society even before revenues are spent with the only requirement being that the implementation costs are lower than the revenues."
Should the EU introduce a carbon tax?,con,"19
Carbon emissions are the biggest contributors to climate change and their reduction should be prioritised the most in the fight against climate change."
Should the EU introduce a carbon tax?,unknown,"9
A carbon tax can raise revenue that can be used for other climate change mitigation efforts."
Should the EU introduce a carbon tax?,unknown,"4
The EU has a moral obligation to reduce carbon emissions in order to mitigate climate change."
Should the EU introduce a carbon tax?,unknown,An EU carbon tax is an unfair way to attempt to mitigate climate change.
Should the EU introduce a carbon tax?,unknown,"2
Introducing a carbon tax will not lead to a significant reduction of carbon emissions."
Should the EU introduce a carbon tax?,unknown,The EU's current climate change policies are sufficiently reducing the EU's carbon emissions.
Should the EU introduce a carbon tax?,unknown,"7
A carbon tax would make European goods and services less competitive in international markets."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,pro,"7
Short term apartment leasing services such as Airbnb should be prohibited in New York City."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,con,"38
A free market does not always shift towards the best choice for consumers or the economy, which is the case for AirBnB. As such, the government has a right and a responsibility to regulate it."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,unknown,"13
Airbnb has increased the price of rent in NYC and in doing so aggravated the existing shortage of affordable housing."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,unknown,"10
Airbnb is unsafe and puts people at risk of damage and harm."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,pro,"10
Individuals are entitled to use their private property for whatever purpose they want. Airbnb is merely facilitating fulfilment of this right."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,con,Airbnb contributes greatly to economic activity in New York City.
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,unknown,"30
Airbnb can offer a superior service as compared to traditional hotels and other accommodation services."
Should school uniforms be banned?,unknown,"3
School uniforms should be banned."
Should school uniforms be banned?,unknown,"4
School uniforms are expensive."
Should school uniforms be banned?,unknown,"5
School uniforms are unfair for students."
Should school uniforms be banned?,unknown,"12
School uniforms are often uncomfortable."
Should school uniforms be banned?,unknown,"2
The decision to have school uniforms should be chosen by the school itself."
Should school uniforms be banned?,unknown,"23
Uniforms play a very important role in maintaining school discipline, a vital skill for students to learn."
Should school uniforms be banned?,unknown,"8
School uniforms are aesthetically pleasing.
 Unclear
not certain how aesthetics maps on to banning/ not banning - could be clarified as to why this is important?"
Should humanity establish colonies on Mars?,unknown,"2
Humanity should colonize Mars."
Should humanity establish colonies on Mars?,unknown,"1
Mars colonization would benefit humanity."
Should humanity establish colonies on Mars?,unknown,Colonizing Mars is in line with the human spirit of exploration.
Should humanity establish colonies on Mars?,pro,Colonizing Mars provides an opportunity to innovate in radical ways.
Should humanity establish colonies on Mars?,unknown,Mars colonization is not feasible at the current level of human development and technology.
Should humanity establish colonies on Mars?,unknown,"10
Other celestial bodies are better destinations than Mars."
Should humanity establish colonies on Mars?,unknown,"28
Mars is not suitable for habitation."
Should humanity establish colonies on Mars?,con,"4
Humanity creates devastation wherever they go; this should not continue on Mars."
Should humanity establish colonies on Mars?,unknown,"7
Colonizing Mars would be too risky to be worth it."
Is science political?,unknown,"33
Science is political."
Is science political?,pro,"7
Science values facts and sound reasoning. If there are politics that revile those approaches, science is inherently opposed to them. Since such politics do exist, science is opposed to those politics."
Is science political?,unknown,"5
Human involvement makes science political."
Is science political?,pro,Some scientific discoveries and research programs have not only been influenced by political thought and political events but also found their raison d'être in politics.
Is science political?,con,"13
Academic and industrial contexts expose scientific research to political influences."
Is science political?,unknown,"6
Some scientific paradigms are political."
Is science political?,unknown,"10
Science is based on a model of reality - a belief system or theology - that is based on rationalism or reason. Therefore, science is political because, in the first instance, it is a theology."
Is science political?,con,"8
If we understand ""politics"" in a broader sense than direct political control, then all human activities have politics. But the scientific method by which we test concepts against reality is not politically biased."
Is science political?,con,"1
Unlike politics, the aim of science is neither influence nor control."
Is science political?,unknown,"Science has been defined as the pursuit of truth, even though it can be used to achieve political benefits."
