topic,side,content
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,pro,"10
Individuals are entitled to use their private property for whatever purpose they want. Airbnb is merely facilitating fulfilment of this right."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,con,Airbnb contributes greatly to economic activity in New York City.
Should humanity establish colonies on Mars?,pro,Colonizing Mars provides an opportunity to innovate in radical ways.
Should humanity establish colonies on Mars?,con,"4
Humanity creates devastation wherever they go; this should not continue on Mars."
Is science political?,pro,"7"
Is science political?,pro,Some scientific discoveries and research programs have not only been influenced by political thought and political events but also found their raison d'être in politics.
Is science political?,con,"13
Academic and industrial contexts expose scientific research to political influences."
Is science political?,con,"8
If we understand ""politics"" in a broader sense than direct political control, then all human activities have politics. But the scientific method by which we test concepts against reality is not politically biased."
Is science political?,con,"1
Unlike politics, the aim of science is neither influence nor control."
Is science political?,con,"1
Descriptions of the scientific method avoid political language, and any analysis of its usage in a political context exceeds the scope of the thesis."
Is Feminism a Force For Good?,pro,"13
Feminism's propensity to point out sexism where it does not exist eclipses other sociocultural issues."
Should Hate Speech Be Legally Protected?,pro,"34
Hate speech should be legally protected."
Should Hate Speech Be Legally Protected?,pro,"19
Protecting hate speech is necessary to ensure the democratic rights of all individuals."
Is the principle of pet ownership vegan?,con,"If they're considered family, then they aren't thought of as pets."
Is the principle of pet ownership vegan?,con,"1
Keeping pets contributes to the financial incentive for pet trading and breeding, which is exploitative and cruel to animals, as many animals being put down who do not find homes."
Is Morality Objective?,con,"Ethics, the study of morality and right and wrong, utilizes predictive and logical operations to determine a conclusion."
Is Morality Objective?,con,"Morality is not some concrete binary system of evil and good. What we call „morality“ is a human constructed framework that pulls from culture, psychology, and local context, not some system embedded into the universe itself."
Is Cannibalism Ethically Permissible?,con,"3
The consumption of human meat is unhealthy."
Should governments provide a universal basic income?,pro,"6
Governments should provide a universal basic income (UBI)."
Should governments provide a universal basic income?,pro,A UBI is a more efficient and effective form of welfare than current government programs.
Should governments provide a universal basic income?,pro,Providing a UBI recognises and supports those who contribute to society through work such as domestic labour and volunteering.
Should governments provide a universal basic income?,pro,"1
The government should not provide a UBI because it is immoral to do so."
Should governments provide a universal basic income?,con,Economic growth is likely to slow if a UBI is implemented.
Should animal testing be banned?,pro,"2
Animal testing is an effective method of testing products."
Should travel bans be instituted to tackle pandemics?,con,"As long as evidence relating to the effectiveness of travel bans is inconclusive, it is best to err on the side of caution by imposing them anyway."
Should Commercial Surrogacy be Legal in Liberal Democracies?,con,"16
Legalising and regulating commercial surrogacy is preferable to allowing 'altruistic' surrogacy (i.e. minimal financial support to the surrogate mother and living expenses), which devalues the surrogate's contribution to the family and society."
Should Commercial Surrogacy be Legal in Liberal Democracies?,pro,"7
The commercialisation of surrogacy enables the government to properly regulate the industry."
Should Commercial Surrogacy be Legal in Liberal Democracies?,pro,"14
Most people in liberal democracies are religious and most religions do not approve of surrogacy."
Should the BAR exam be eliminated as a requirement to practice law?,con,The BAR exam infringes on individual freedom by restricting upward socio-economic movement.
Is it Time to 'Free the Nipple'? Toplessness and Gender Equality in the US,pro,"20
Restricting nipple showing protects female-presenting people from unwanted sexual harassment."
Should we worship a god that sends people to hell?,con,It's contradictory to worship a loving God who sends people to hell.
Should everyone's wealth and income information be publicly available?,pro,"8
Pay transparency would improve business practices and employee conditions."
Should everyone's wealth and income information be publicly available?,con,The public knowledge of everyone's income information will have a negative effect on the wider economy.
Should Google Censor Their Search Results In Order To Operate In China?,pro,"1
Google is a company whose goal is to make a profit. It does not need to worry about ethical concerns if operating in China is profitable."
Should Election Campaigns only be Funded by the Government?,pro,"13
The public funding of elections further polarises politics by facilitating the rise of parties which are fundamentally opposed to each other and cannot find grounds for compromise."
Is preferential voting the most effective system for ensuring fairer election outcomes?,pro,"7
Preferential voting promotes a two party system that is detrimental to minor parties."
Is preferential voting the most effective system for ensuring fairer election outcomes?,con,"6
Preferential voting, or Rank Choice Voting, can be deceptive by giving the false impression that the highest ranked candidate is likely to win. It often favors tertiary candidates and in three-way races, the second place candidate is more likely to win."
Is Western culture superior to other cultures?,con,"4
Western thinkers have given humanity great political, economical, and philosophical ideas."
Is Western culture superior to other cultures?,con,"Dominance is often confused with superiority, and these two are not interchangeable in terms of culture."
Is cultural diversity beneficial to develop a successful organisation?,con,"11
Having employees from diverse backgrounds enables organisations to make decisions that consider a much broader perspective."
Is cultural diversity beneficial to develop a successful organisation?,pro,"4
Cultural diversity in the workplace may lead to greater profits for an organisation."
Is cultural diversity beneficial to develop a successful organisation?,con,"18
Cultural diversity can create conflict within the workplace."
Is ecotourism sustainable?,pro,Ecotourism can help promote the economic growth of a country in a responsible manner.
Is ecotourism sustainable?,pro,"6
Ecotourism protects natural environments that may otherwise be destroyed."
"Should the Primary Focus of Prisons be Rehabilitation, or Punishment?",pro,"12
Rehabilitation reduces the likelihood of a criminal reoffending, providing the greatest benefit to the community."
"Should the Primary Focus of Prisons be Rehabilitation, or Punishment?",pro,"24
Removing a prisoner from society is meant to protect the public by preventing any further criminal activity and punish the offender for their criminal behavior."
Is Greta Thunberg's Impact on Society Positive?,pro,"8
Greta Thunberg has proposed ineffective solutions to climate change."
Should Sex Work Be Legal?,pro,"5
The legalisation of sex work would improve the health and security of sex workers."
Should Sex Work Be Legal?,con,"1
The government has no right to outlaw an interaction between consenting adults."
Should Sex Work Be Legal?,con,"10
The legalisation of sex work would create economic benefits."
Is Christianity Compatible With Feminism?,con,"4
Historically feminism evolved out of Christianity, rooted in the basic concept of the equality of all people."
Is Christianity Compatible With Feminism?,con,"11
The Christian faith is diametrically opposed to women being free to control their own lives or the lives of men."
Is Christianity Compatible With Feminism?,con,"5
All Abrahamic religions have a few verses that may venerate women, but the majority of their laws and suggestions are condemnations, vilifying everything that a woman is and does; this includes Christianity."
Is Christianity Compatible With Feminism?,con,"5
People practice religion in various ways to best suit their various needs. So, a person can be a 'Christian Feminist' by ignoring the parts of their religion that conflict with and/or outright prevent equality."
Is Christianity Compatible With Feminism?,con,"4
The Bible does not consider men and women as equals."
Should public health systems fund homeopathy?,con,Consumers within public health systems should be empowered to make their own choices about their treatment.
Should public health systems fund homeopathy?,pro,"2
Most homeopathic remedies are well established so cannot be patented. This means there's little commercial interest in trialling or producing them, so public funding is necessary to build up evidence and maintain quality."
Should public health systems fund homeopathy?,pro,"2
Public health systems should not fund treatments that have been proven not to work or have any predictable effect."
Should quotas for women on boards and in managerial positions be mandatory?,pro,Gender quotas are ineffective and counterproductive.
Should citizens be able to crowdsource laws?,pro,"15
Crowdsourcing has the potential to improve law-making by utilizing collective potential that currently remains untapped."
Should citizens be able to crowdsource laws?,pro,"13
Democracy selects for characteristics in decision makers that are not necessarily beneficial, for example the ability to agitate people. Crowdsourcing provides a mechanism that doesn't suffer from this flaw."
Should citizens be able to crowdsource laws?,pro,"13
Ordinary political decision-making is prone to the corruption of those who make decisions. As crowdsourcing is decentralized and involves many more people, it is less prone to that."
Should citizens be able to crowdsource laws?,pro,"10
Crowdsourcing laws would bring more citizens into the process of lawmaking as active participants."
Should citizens be able to crowdsource laws?,con,"It could lead to laws that are changed and created according to vocal small groups who don't have a good sense of broader prioritization and cost-benefit ratios, considering their group's interests very important."
Should citizens be able to crowdsource laws?,pro,"The technical online systems could be problematic such as giving a lot of control to those who develop and run it, excluding selected people, or intruding privacy."
Should citizens be able to crowdsource laws?,con,"2
It could lead to laws that are changed and created based on how things sound on a superficial level rather than to reasonable, science-based, effective laws that consider actual consequences that are not immediately clear, and/or long-term impacts."
Should citizens be able to crowdsource laws?,con,"18
Crowdsourcing would be at an inherent risk of being hijacked by either sides to enact archaic draconian laws - for example the death penalty."
Should Law Enforcement have volunteers?,pro,It provides the community with closer communication with the police.
Should Law Enforcement have volunteers?,pro,"1
It provides work experience for the volunteer."
Should Law Enforcement have volunteers?,pro,"2
It will create a bad impression for law enforcement because volunteers can be unprofessional."
Should public displays of affection (PDA) be allowed in middle school and high school?,pro,Schools are not appropriate places for PDA.
Should the government provide funding for arts programs?,pro,"3
The government should provide funding for arts programs."
Should the government provide funding for arts programs?,pro,"11
Government spending on arts programs and organizations generates economic activity."
Should the government provide funding for arts programs?,pro,"1
Arts programs are part of a vibrant civil society and, therefore, are an important part of any democracy (p. 2)."
Should the government provide funding for arts programs?,pro,"4
Government funding discourages charitable donations to arts programs (p. 1)."
Should the government provide funding for arts programs?,pro,"2
Government funding of arts programs will inevitably lead to increased government influence and control over art."
Should the government provide funding for arts programs?,pro,"18
There is little evidence that government funding for arts programs is helpful in qualitatively or quantitatively expanding the arts."
Should the US adopt a single-payer health care system?,pro,Saving human lives should not be an activity reliant on the incentive by profit.
Should the US adopt a single-payer health care system?,con,"3
It contributes to the centralization of power and decision making. It puts everyone at risk if the people in charge are evil or incompetent."
Should the US adopt a single-payer health care system?,con,"2
A single-payer healthcare system would lead to an increase in taxes and would therefore damage the economy."
Should individuals sentenced to life in prison be allowed to choose death instead?,pro,"3
Rehabilitation and, where appropriate, reintegration should be a central goal of prisons, and allowing people to choose death is contrary to that."
Should individuals sentenced to life in prison be allowed to choose death instead?,con,Criminals should be forced to live with the consequences of their crimes.
Is discipline necessary in education?,pro,"1
Discipline helps in structuring classroom activities and achieve learning goals.
Click to see the pros and cons below this claim."
Is discipline necessary in education?,pro,"Without discipline, children will not adapt to their environment properly."
Should the state grant benefits linked to marriage?,pro,These benefits will provide support to minority groups looking to get married.
Is it unethical to use ad-blockers?,con,"2
Ads help ensure equity in access to internet services because the prevalence of advertising as a business practice means most Internet content is free."
Is it unethical to use ad-blockers?,pro,"12
Running an ad blocker breaks the implicit contract that the user will view content as presented by the provider."
Is it unethical to use ad-blockers?,pro,"Computer users should have the right to control what runs on their machines. This extends to the right to prevent third parties, such as publishers, running programs (i.e. ads) that the user finds undesirable."
Is it unethical to use ad-blockers?,con,"4
There are analogous practices on all other forms of media that are not considered unethical. Ad blocking is no different."
Is Organic Farming Better Than Conventional Farming?,con,"14
Organic farming is better than conventional farming."
Is Organic Farming Better Than Conventional Farming?,con,The welfare for organic livestock is higher than for conventional livestock.
Is Organic Farming Better Than Conventional Farming?,con,"3
Organic farming is healthier for people than conventional farming."
Is Organic Farming Better Than Conventional Farming?,con,Organic farming is economically more sound.
Is Organic Farming Better Than Conventional Farming?,pro,"1
Organically-grown produce tastes better than conventionally-grown."
Is Organic Farming Better Than Conventional Farming?,con,"12
The organic label is inconsistent and legally more complicated, as it is slightly arbitrary and subject to changes."
Is Organic Farming Better Than Conventional Farming?,con,"There are no certificates for organic food that allow for genetic editing which could make the food more sustainable (e.g. reduce land use), resistant (e.g. better withstand droughts) or healthy (e.g. raise micronutrient contents)."
Is Organic Farming Better Than Conventional Farming?,pro,"According to a study, certification of organic production is largely restricted to banning synthetic agrochemicals, resulting in limited benefits for biodiversity but high yield losses."
Is Organic Farming Better Than Conventional Farming?,con,"4
Organic farming is more complicated to grow, which may lead to inconsistencies in quality."
Is Organic Farming Better Than Conventional Farming?,con,"7
Conventional farming allows for more variation in food than organic practices."
Should all major political decisions be made via public referendum?,pro,Referendums foster a sense of inclusivity in democracy and make people feel part of the political process.
Should all major political decisions be made via public referendum?,pro,Deciding whether a political decision is 'major' or not may become a politicised process.
Should unpaid internships be banned?,con,"4
It is unethical to employ people without economic compensation."
Should unpaid internships be banned?,pro,"3
There are more effective methods to deal with the problems of unpaid internships than a ban."
Is the minimum wage good for the economy overall?,con,"7
The minimum wage is good for the economy."
Is the minimum wage good for the economy overall?,con,"3
A reasonable minimum wage has an average positive balance on economic output."
Is the minimum wage good for the economy overall?,pro,"The minimum wage protects workers from unethical businesses, who want to underpay their workers."
Is the minimum wage good for the economy overall?,pro,"3
Minimum wage drives technological development as it gets profitable to invest in technology if the cost of labor is above the poverty line."
Is the minimum wage good for the economy overall?,pro,"7
Minimum wage law is being used as the excuse to replace workers with machines since little organizational force opposes this replacement and machines are more profitable"
Is health care a human right?,con,"21
Health care should be considered a human right."
Is health care a human right?,pro,Providing healthcare as a human right ensures citizens' access to life and obligates the state to provide it to all.
Is health care a human right?,con,"4
Health care does not fit within the confines of what defines a human right."
Is health care a human right?,con,Declaring healthcare as a human right is economically unfeasible.
Should There be a Universal Basic Income (UBI)?,pro,"46
Wealthy countries should provide citizens with a universal basic income (UBI)."
Should There be a Universal Basic Income (UBI)?,pro,"54
A UBI would improve the lives of many people."
Should There be a Universal Basic Income (UBI)?,pro,"33
A UBI may erode the personal and societal incentives for financial responsibility, self-improvement, and hard work; at least for some people."
Should There be a Universal Basic Income (UBI)?,con,"49
UBIs would have negative economic effects on the countries that implement them."
Should There be a Universal Basic Income (UBI)?,pro,"7
Providing a UBI may create harmful political consequences."
Should US Presidents Have the Power to Issue Pardons?,con,"6
Presidential pardons are inconsistent with a democratic system of governance."
Should US Presidents Have the Power to Issue Pardons?,con,"6
Removing the executive pardon would eliminate a vital constitutional check and balance on the judicial branch."
Is equality of outcome better than equality of opportunity?,pro,Promoting equality of opportunity is more economically efficient.
Is water wet?,pro,Wet is an emergent property that describes the characteristics of a collection of water molecules.
Is water wet?,pro,"5
Wetness is a property of experience rather than of water itself."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,"The ""body acceptance"" or ""fat acceptance"" movement, while in itself a noble idea, has negative repercussions such as outright discouraging people from bettering their health conditions by losing weight."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,pro,"14
Obese people can cause a lot of problems for others in daily life."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,Obese people are considered disgusting by many.
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,"2
At certain times in history, obesity was considered attractive, as it was a symbol of wealth and status. We should not assume that our current values are correct."
Should All Drug Trial Participants Be Chosen By Lottery?,pro,"3
Mandatory participation in drug tests would improve the quality and utility of medical trials."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"3
The practice of randomly choosing is just and fair, as the inconvenience and potential dangers of the medical trials get distributed all over society from the bottom to the top."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"8
Since participation in many trials requires having a specific condition or meeting certain criteria, it will require a massive invasion of (currently private) medical records to find these people."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"17
Drug tests often require a control group that are given placebos and no other form of treatment. It is extra-unethical to withhold treatments when participants are not freely consenting to the possibility."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"6
Any possible benefits of this policy are outweighed by the massive economic costs it would cause."
Is Artificial Intelligence a threat to democratic governance?,pro,AI can enhance the efficiency and transparency of the political decision making process.
Should renewable energy sources replace fossil fuels?,pro,"5
The process of change has started."
Should renewable energy sources replace fossil fuels?,con,"3
The economic costs of shifting to renewable energy sources are high."
Should plastic water bottles have a five-cent deposit on every bottle?,pro,A five-cent deposit would create a disincentive for purchasing plastic products.
Should plastic water bottles have a five-cent deposit on every bottle?,pro,The funds collected could be used to address environmental problems.
Should plastic water bottles have a five-cent deposit on every bottle?,con,It unfairly shifts the responsibility of covering the expenses related to environmental pollution onto consumers.
Is it ethically wrong to watch pornography?,pro,"10
Since ethically produced porn exists, it is possible to make ethical choices about what porn you watch."
Is it ethically wrong to watch pornography?,con,Viewing pornography is ethical because the adult content industry yields significant benefits for society.
Should Dictatorships Receive Development Aid?,pro,"14
Democracies should only provide official development assistance (ODA) to democratic countries."
Should Dictatorships Receive Development Aid?,con,"7
Making assistance conditional on democratisation makes economic reform and growth in non-democratic states more likely."
Should Dictatorships Receive Development Aid?,con,"5
Tying development assistance to a free democratic basic order is the strong preference of the majority of donor countries' citizens. As they are the ones who have to fund development aid, taxpayers' opinion should be seriously taken into consideration."
Should Dictatorships Receive Development Aid?,con,Conditional development assistance works as an incentive for further democratization.
Should Dictatorships Receive Development Aid?,con,"2
Unconditional foreign assistance is vital to achieving peace and stability in non-democratic recipient states."
Should Dictatorships Receive Development Aid?,con,Tying assistance to the conditions of democratization is immoral.
Should Dictatorships Receive Development Aid?,pro,"18
By making development assistance conditional on democratization, donor states run the risk of losing out on a potential source of influence over recipient states to protect important strategic interests."
Is the Premier League Better than the Bundesliga?,con,"The PL has a higher revenue than the BL or any other league in the world. So, from an economical perspective, it is the most successful."
Is the Premier League Better than the Bundesliga?,con,"12
More than half of all PL clubs have majority owners born outside the UK. In the eyes of many, this makes them investment targets first - and sport clubs with a responsibility to tradition and local origin second."
Should American Football Be Banned?,pro,"13
The organizations that promote football are exploitative."
Should American Football Be Banned?,con,American football is too economically important to ban.
Should religious practices that incorporate self-harm be banned?,pro,"6
States have a duty to protect their citizens, even from themselves and religion."
Is the Scientific Process Objective?,pro,The scientific process is objective.
Is the Scientific Process Objective?,pro,"10
The scientific method promotes objectivity in scientific research."
Is the Scientific Process Objective?,pro,"3
Science is subject to institutional and social forces that compromise its objectivity (p. 1)."
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,con,Daniel Holtzclaw is guilty of the crimes he was convicted for.
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,pro,There was substantial evidence to prove that Holtzclaw was guilty of the crimes.
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,pro,"Investigative techniques used by Oklahoma City police detectives were questionable, biased and/or unprofessional."
Is global overpopulation a myth?,con,"8
There are possible solutions that would allow society to live sustainably without suffering the consequences of a large population."
Is global overpopulation a myth?,con,"35
Concerns about overpopulation have been greatly exaggerated, as predictions regarding the global population vary and may be unreliable."
Is global overpopulation a myth?,pro,"29
The Earth's resources are finite and poorly distributed; sustaining the human population at its current growth rate is improbable."
Should higher education be publicly funded?,con,"5
Publicly funded higher education would lead to a more well-educated population, which has social and economic benefits."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,"This mandates third-party age verification for minors on social media, bans all accounts for minors younger than 16, and requires platforms to disclose content and data policies, with penalties for non-compliance."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,"For many children, bullying ends when the school day ends. Social media can allow bullying to continue 24/7 which could have a significant impact on the mental health and safety of the child/minor."
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"Social media has been proven in growing research to be significantly sticky for its behaviorally addicting mechanisms. This mandate reduces the use of social media among minors, thereby protecting them from engaging in negatively reinforcing addicting behaviors."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,Mandates transparent policies on content and data usage.
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"Prohibits account creation by under-16s, reducing exposure to harmful content."
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"1
Enhances age verification to protect minors."
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"When something disappears from people's lives, they tend to seek alternatives, which in this case are likely to be riskier and less moderated platforms or behaviors.
Click to see the pros and cons below this claim."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,Might lead to privacy concerns over third-party involvement in age verification.
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"Infringement on Privacy and Autonomy: The bill proposes extensive parental control and monitoring, potentially infringing on minors' privacy and autonomy. Adolescents need to develop their own digital identities and learn to manage their online presence. Excessive oversight could undermine their ability to navigate and understand the digital world independently."
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"‘Age’ is a policy standard that has proven to be quite ineffective ever since adopted. Early teens commit incredible crimes even without much access to the internet, and early teens also get more knowledgeable with/without much access to the internet. Age shouldn't be a metric."
Should LGBTQ+ Conversion Therapy Be Banned?,con,"18
LGBTQ+ conversion therapy should be banned."
